Parameters0_BEQ1_gain
Parameters0_BEQ2_gain
Parameters0_BEQ3_gain
Parameters0_BEQ4_gain
Parameters0_BEQ5_gain
Parameters0_BEQ6_gain
Parameters0_BEQ8_gain
Parameters0_BEQ9_gain
Parameters0_C1_MPO
Parameters0_C1_Ratio
Parameters0_C1_TK
Parameters0_C2_MPO
Parameters0_C2_Ratio
Parameters0_C2_TK
Parameters0_C3_MPO
Parameters0_C3_Ratio
Parameters0_C3_TK
Parameters0_C4_MPO
Parameters0_C4_Ratio
Parameters0_C4_TK
Parameters0_C5_MPO
Parameters0_C5_Ratio
Parameters0_C5_TK
Parameters0_C6_MPO
Parameters0_C6_Ratio
Parameters0_C6_TK
Parameters0_Noise_Reduction
Parameters0_matrix_gain
Parameters1_BEQ1_gain
Parameters1_BEQ2_gain
Parameters1_BEQ3_gain
Parameters1_BEQ4_gain
Parameters1_BEQ5_gain
Parameters1_BEQ6_gain
Parameters1_BEQ7_gain
Parameters1_BEQ8_gain
Parameters1_BEQ9_gain
Parameters1_C1_Ratio
Parameters1_C1_TK
Parameters1_C2_Ratio
Parameters1_C2_TK
Parameters1_C3_Ratio
Parameters1_C3_TK
Parameters1_C4_Ratio
Parameters1_C4_TK
Parameters1_C5_Ratio
Parameters1_C5_TK
Parameters1_C6_Ratio
Parameters1_C6_TK
Parameters1_matrix_gain
Parameters2_BEQ1_gain
Parameters2_BEQ2_gain
Parameters2_BEQ3_gain
Parameters2_BEQ4_gain
Parameters2_BEQ5_gain
Parameters2_BEQ6_gain
Parameters2_BEQ7_gain
Parameters2_BEQ8_gain
Parameters2_BEQ9_gain
Parameters2_C1_TK
Parameters2_C2_TK
Parameters2_C3_TK
Parameters2_C4_TK
Parameters2_C5_TK
Parameters2_C6_TK
Parameters2_matrix_gain
